fiscal_year,health_authority,hospital_name,procedure_group,waiting,completed,completed_50th_percentile,completed_90th_percentile
2010/11,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,485.0,2835.0,2.0,14.1
2010/11,All Health Authorities,All Facilities,Ligament Surgery,79.0,126.0,3.1,22.6
2010/11,All Health Authorities,All Facilities,Lipectomy,35.0,133.0,6.7,24.0
2010/11,All Health Authorities,All Facilities,Lung Surgery,62.0,590.0,2.4,5.9
2010/11,All Health Authorities,All Facilities,Male Reproductive Surgery,834.0,2266.0,5.6,27.8
2010/11,All Health Authorities,All Facilities,Mastectomy,355.0,3881.0,2.0,5.7
2010/11,All Health Authorities,All Facilities,Mastoidectomy,159.0,250.0,10.9,42.1
2010/11,All Health Authorities,All Facilities,Myringotomy,534.0,1478.0,5.4,16.1
2010/11,All Health Authorities,All Facilities,Nasal Surgery,2345.0,3098.0,12.7,47.0
2010/11,All Health Authorities,All Facilities,Nerve Surgery,341.0,1199.0,6.1,36.9
2010/11,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,79.0,243.0,6.9,23.9
2010/11,All Health Authorities,All Facilities,Other Ear Surgery,136.0,168.0,10.9,31.6
2010/11,All Health Authorities,All Facilities,Other Eye Surgery,1406.0,3954.0,4.1,28.1
2010/11,All Health Authorities,All Facilities,Other Joint Reconstruction,948.0,1914.0,7.6,37.0
2010/11,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2672.0,6412.0,6.1,31.4
2010/11,All Health Authorities,All Facilities,Other Urology Surgery,1414.0,7200.0,3.9,15.7
2010/11,All Health Authorities,All Facilities,Parotidectomy,121.0,362.0,6.6,28.4
2010/11,All Health Authorities,All Facilities,Prostate Surgery,1180.0,5461.0,4.4,17.4
2010/11,All Health Authorities,All Facilities,Rectal Surgery,901.0,1695.0,7.9,35.3
2010/11,All Health Authorities,All Facilities,Rib Resection,36.0,94.0,14.6,44.9
2010/11,All Health Authorities,All Facilities,Scope of Chest,54.0,658.0,1.9,4.6
2010/11,All Health Authorities,All Facilities,Shoulder Surgery,2152.0,3083.0,11.7,46.7
2010/11,All Health Authorities,All Facilities,Shunt Insertion/Removal,7.0,34.0,1.9,9.4
2010/11,All Health Authorities,All Facilities,Sinus Surgery,1763.0,1747.0,11.7,49.2
2010/11,All Health Authorities,All Facilities,Skin Surgery,257.0,872.0,3.6,21.0
2010/11,All Health Authorities,All Facilities,Skin Tumour Removal,731.0,2698.0,3.4,16.9
2010/11,All Health Authorities,All Facilities,Sphincterotomy,92.0,194.0,5.6,20.7
2010/11,All Health Authorities,All Facilities,Spinal/Back Surgery,1726.0,3111.0,5.9,36.1
2010/11,All Health Authorities,All Facilities,Tendon Surgery,244.0,755.0,2.7,21.6
2010/11,All Health Authorities,All Facilities,Thoracotomy,5.0,103.0,2.3,7.3
2010/11,All Health Authorities,All Facilities,Thyroidectomy,330.0,1238.0,5.3,22.0
2010/11,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1778.0,3646.0,11.0,34.4
2010/11,All Health Authorities,All Facilities,Tympanoplasty,584.0,714.0,16.2,49.9
2010/11,All Health Authorities,All Facilities,Uterine Surgery,2636.0,12032.0,5.1,19.9
2010/11,All Health Authorities,All Facilities,Vaginal Repair,593.0,1617.0,8.6,32.4
2010/11,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1858.0,1243.0,13.1,62.3
2010/11,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,177.0,764.0,3.0,15.4
2010/11,All Health Authorities,All Facilities,Vascular Surgery - Other,337.0,1617.0,2.3,11.5
2010/11,All Health Authorities,All Facilities,Wound/Laceration Care,309.0,985.0,2.9,22.8
2011/12,All Health Authorities,All Facilities,Abdominoplasty,78.0,110.0,7.8,58.2
2011/12,All Health Authorities,All Facilities,Aortic Aneurysm Repair,55.0,391.0,3.6,14.6
2011/12,All Health Authorities,All Facilities,Appendectomy,24.0,91.0,4.0,18.6
2011/12,All Health Authorities,All Facilities,Bariatric Surgery,390.0,167.0,20.0,202.4
2011/12,All Health Authorities,All Facilities,Biopsy in OR,413.0,2665.0,2.6,11.4
2011/12,All Health Authorities,All Facilities,Bladder Surgery,1589.0,5906.0,4.3,21.6
2011/12,All Health Authorities,All Facilities,Bowel Resection,444.0,2911.0,2.9,10.7
2011/12,All Health Authorities,All Facilities,Breast Biopsy,255.0,2188.0,2.4,6.0
2011/12,All Health Authorities,All Facilities,Breast Reconstruction,742.0,1209.0,4.7,28.0
2011/12,All Health Authorities,All Facilities,Breast Reduction,1341.0,2030.0,11.0,42.6
2011/12,All Health Authorities,All Facilities,CSF Drainage,9.0,185.0,1.0,2.9
2011/12,All Health Authorities,All Facilities,Cataract Surgery,11405.0,50964.0,7.0,25.0
2011/12,All Health Authorities,All Facilities,Cholecystectomy,1707.0,5875.0,5.1,21.6
2011/12,All Health Authorities,All Facilities,Colostomy/Ileostomy,212.0,589.0,6.4,26.2
2011/12,All Health Authorities,All Facilities,Cone Biopsy,67.0,559.0,3.6,10.6
2011/12,All Health Authorities,All Facilities,Cranial Surgery,123.0,1014.0,1.6,8.7
2011/12,All Health Authorities,All Facilities,Cyst/Ganglion Removal,507.0,1281.0,5.3,23.9
2011/12,All Health Authorities,All Facilities,D&C and Related Surgery,1142.0,5605.0,3.6,13.3
2011/12,All Health Authorities,All Facilities,Dental Surgery,2301.0,6389.0,7.0,28.0
2011/12,All Health Authorities,All Facilities,Endarterectomy,133.0,674.0,3.0,12.9
2011/12,All Health Authorities,All Facilities,Esophagectomy,29.0,123.0,2.6,14.9
2011/12,All Health Authorities,All Facilities,Examination Under Anaesthetic,211.0,854.0,4.3,19.4
2011/12,All Health Authorities,All Facilities,Excision Gynecomastia,101.0,201.0,7.0,37.3
2011/12,All Health Authorities,All Facilities,Excision Lesion/Tumour,585.0,2588.0,4.0,16.0
